exact_year,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,TELANGANA
2000,96394,2306,39496,62701,8439,118544,63211,16456,19623,38351,123476,79808,85664,29509,285492,3595,4685,1909,4035,49819,74939,89372,1116,165323,5880,198839,15934,151670,1258,5084,72493,4753,
2001,100765,2674,40515,59105,8766,128178,68094,17295,20001,40994,125714,83795,91792,33639,295578,3819,4999,2029,4498,52852,75916,99549,1208,162120,6686,202456,16690,162624,1286,5531,75281,5075,
2002,103059,2547,42970,66579,9299,139353,72268,18138,21019,42142,132457,89927,87005,33071,315961,3798,5146,2225,4946,52472,77209,87589,1298,162931,7133,209007,18253,168324,1423,6228,81050,5578,
2003,113155,2824,45614,62286,9936,162563,79377,19353,22099,45330,135037,95755,96765,39283,340364,4213,5467,2297,5172,60134,82030,115459,1401,173085,7551,220012,19697,178214,1573,6905,85467,5828,
2004,121388,3188,47181,70167,10999,172265,86222,21189,23292,53056,148729,104776,99940,41387,370023,4603,5846,2400,5421,67987,86108,112636,1511,193645,8170,231029,22288,190029,1633,7610,94717,5033,79916
2005,128150,3281,48602,68419,11916,197270,94011,23009,24371,50678,164031,115500,104975,42063,423632,4907,6303,2577,5986,71005,90330,120202,1662,221588,8708,244514,25448,201994,1720,8442,104473,6375,92751
2006,141610,3458,50797,80260,13085,213954,104700,24819,25794,51527,181086,124625,114545,50065,481983,4992,6778,2693,6454,79845,100072,134350,1760,256286,9458,263935,28514,217849,2029,9690,117444,6614,102977
2007,159270,3873,52968,84415,13655,239253,112896,26362,27387,63005,203810,135747,119958,54112,538081,5267,6991,2988,6978,86692,108738,140471,1862,272340,10082,280851,33498,234798,2238,10405,130683,7137,113456
2008,163341,4191,56123,97284,14728,249480,121588,27649,29102,60472,218309,144094,135124,57662,546533,5652,7889,3437,7422,93207,114766,152284,2106,286744,11146,302192,37064,244262,2579,11187,146961,7792,128918
2009,174401,4539,61294,101938,16119,284732,136780,29149,30512,66465,218363,157123,147933,59263,599338,6039,8396,3832,7842,93957,122097,161159,3659,316760,12287,320989,43407,263230,2911,11767,159044,9197,129267
2010,186041,4735,64310,117503,19293,315892,146053,31590,32256,76134,240817,167178,155701,64977,667625,5862,9226,4539,8587,99880,129983,185366,4028,359961,13215,346621,47967,279191,3164,11765,172235,9812,152123
2011,191554,4983,66942,129521,23279,336886,158523,33955,33990,80157,248040,176915,169600,69265,695904,6412,10303,4405,9291,103628,136987,202749,4548,386508,14421,365375,52748,289432,3431,11959,180722,10174,160602
2012,192308,5066,68579,134303,19876,377257,169399,36189,35029,87242,265132,188023,184305,72423,734891,6420,10472,4702,9827,109755,144194,210171,4654,406487,15612,381471,56663,301479,3586,12930,191947,10407,165080
2013,202959,5469,71792,139961,17131,405603,184117,38926,36705,87874,289086,196701,193761,79596,782973,6980,10514,5387,10496,118290,153185,222730,4944,430024,17074,400680,60931,308238,3841,13995,204775,11569,172681
2014,223706,6373,75776,144963,22074,446157,194891,41817,34945,99519,300035,206100,203761,80502,831025,7591,10226,6851,10921,119716,159467,238689,5339,453805,20206,413263,65031,315425,4184,14377,222644,10775,184192
2015,251838,6279,86750,152593,25680,489877,217891,45188,41943,92321,335197,221750,222663,82218,897225,8159,10476,7531,11092,128474,168864,257415,5828,494217,19658,448582,70433,334561,4519,15581,247968,11426,205923
2016,269061,6526,92961,163967,28400,533602,240899,49423,43001,102900,380537,239260,251943,91304,985933,8475,11027,8274,11874,148850,180825,271636,6263,528398,22522,503182,77758,357756,5131,16841,265119,12271,225108
2017,296701,6783,101050,177197,28833,598463,253966,52459,45580,111775,409253,255206,265451,94484,1026049,9405,11409,9478,12481,160442,191862,285979,7098,573224,24427,522441,83915,381534,5796,17864,280075,13438,246058
2018,314863,7257,105897,195868,29046,654033,274967,55652,48432,121768,435701,275488,289720,101853,1067752,9028,11983,9710,13253,171679,202676,291356,7418,614079,27074,537577,86147,403248,6156,18828,290816,15750,268926
